Timestamp (s),CPU (%),RAM (%),Swap (%)
1730355528.869,100.0,45.6,0.0
1730355558.897,100.0,45.6,0.0
1730355588.908,100.0,45.6,0.0
1730355618.907,100.0,45.6,0.0
1730355648.906,100.0,45.6,0.0
1730355678.907,100.0,45.6,0.0
1730355708.922,100.0,45.6,0.0
1730355738.921,100.0,45.6,0.0
1730355768.924,100.0,45.6,0.0
1730355798.933,100.0,45.6,0.0
1730355828.936,100.0,45.6,0.0
1730355858.947,100.0,45.6,0.0
1730355888.949,100.0,45.6,0.0
1730355918.951,100.0,45.6,0.0
1730355948.950,100.0,45.6,0.0
1730355978.957,100.0,45.6,0.0
1730356008.960,100.0,45.6,0.0
1730356038.959,100.0,45.6,0.0
1730356068.962,100.0,45.6,0.0
1730356098.971,100.0,45.6,0.0
1730356128.970,100.0,45.6,0.0
1730356158.972,100.0,45.6,0.0
1730356188.981,100.0,45.6,0.0
1730356218.983,100.0,45.6,0.0
1730356248.990,100.0,45.6,0.0
1730356278.996,100.0,45.6,0.0
1730356308.998,100.0,45.6,0.0
1730356339.000,100.0,45.6,0.0
1730356369.005,100.0,45.6,0.0
1730356399.008,100.0,45.6,0.0
1730356429.007,100.0,45.6,0.0
1730356459.020,100.0,45.6,0.0
1730356489.019,100.0,45.6,0.0
1730356519.022,100.0,45.6,0.0
1730356549.032,100.0,45.6,0.0
1730356579.031,100.0,45.6,0.0
1730356609.037,100.0,45.6,0.0
1730356639.040,100.0,45.6,0.0
1730356669.050,100.0,45.6,0.0
1730356699.051,100.0,45.6,0.0
1730356729.057,100.0,45.6,0.0
1730356759.060,100.0,45.6,0.0
1730356789.059,100.0,45.6,0.0
1730356819.062,100.0,45.6,0.0
1730356849.066,100.0,45.6,0.0
1730356879.072,100.0,45.6,0.0
1730356909.074,100.0,45.6,0.0
1730356939.084,100.0,45.6,0.0
1730356969.083,100.0,45.6,0.0
1730356999.089,100.0,45.6,0.0
1730357029.088,100.0,45.6,0.0
1730357059.099,100.0,45.6,0.0
1730357089.102,100.0,45.6,0.0
1730357119.116,100.0,45.6,0.0
