Timestamp (s),CPU (%),RAM (%),Swap (%)
1731634335.822,100.0,14.1,0.0
1731634336.834,91.9,14.1,0.0
1731634337.837,84.0,14.1,0.0
1731634338.840,86.8,14.1,0.0
1731634339.842,89.8,14.1,0.0
1731634340.845,90.4,14.0,0.0
1731634341.850,90.2,14.0,0.0
1731634342.849,87.4,14.0,0.0
1731634343.848,87.5,14.0,0.0
1731634344.847,87.5,14.0,0.0
1731634345.846,87.5,14.0,0.0
1731634346.845,87.5,14.0,0.0
1731634347.844,87.5,14.0,0.0
1731634348.843,87.5,14.0,0.0
1731634349.843,87.5,14.0,0.0
1731634350.843,87.5,14.0,0.0
1731634351.842,87.5,14.0,0.0
1731634352.841,87.5,14.0,0.0
1731634353.840,87.5,13.9,0.0
1731634354.843,87.5,13.9,0.0
1731634355.842,87.5,13.9,0.0
1731634356.841,87.5,13.9,0.0
1731634357.840,87.5,13.9,0.0
1731634358.839,87.5,13.9,0.0
1731634359.838,87.5,13.9,0.0
1731634360.837,87.5,13.9,0.0
1731634361.836,87.5,13.9,0.0
1731634362.836,87.6,13.9,0.0
1731634363.835,87.5,13.9,0.0
1731634364.835,87.5,13.9,0.0
1731634365.834,87.6,13.9,0.0
1731634366.835,87.5,13.9,0.0
1731634367.834,87.5,13.9,0.0
1731634368.833,87.5,13.9,0.0
1731634369.832,87.5,13.9,0.0
1731634370.831,87.5,13.9,0.0
1731634371.834,87.5,13.9,0.0
1731634372.833,87.5,13.9,0.0
1731634373.832,87.6,13.9,0.0
1731634374.831,87.5,13.9,0.0
1731634375.830,87.5,13.9,0.0
1731634376.829,87.5,13.9,0.0
1731634377.828,87.5,14.0,0.0
1731634378.827,87.5,14.0,0.0
1731634379.826,87.5,14.0,0.0
1731634380.829,87.5,14.0,0.0
1731634381.828,87.5,14.0,0.0
1731634382.827,87.5,14.0,0.0
1731634383.826,87.5,14.0,0.0
1731634384.825,87.5,14.0,0.0
1731634385.827,87.5,14.0,0.0
1731634386.826,87.5,14.0,0.0
1731634387.825,87.5,14.0,0.0
1731634388.824,87.5,14.0,0.0
1731634389.823,87.6,14.0,0.0
1731634390.822,87.5,14.0,0.0
1731634391.823,87.5,14.0,0.0
1731634392.822,87.5,14.0,0.0
1731634393.821,87.5,14.0,0.0
1731634394.820,87.5,14.0,0.0
1731634395.820,87.5,14.0,0.0
1731634396.821,87.5,14.0,0.0
1731634397.820,87.5,14.0,0.0
1731634398.819,87.5,14.0,0.0
1731634399.818,87.5,14.0,0.0
1731634400.817,87.5,14.0,0.0
1731634401.817,87.5,14.0,0.0
1731634402.818,87.5,14.0,0.0
1731634403.817,87.6,14.0,0.0
1731634404.816,87.5,14.0,0.0
1731634405.815,87.5,14.0,0.0
1731634406.814,87.5,14.0,0.0
1731634407.813,87.5,14.0,0.0
1731634408.815,87.5,14.0,0.0
1731634409.814,87.5,14.0,0.0
1731634410.813,87.5,14.0,0.0
1731634411.812,87.5,14.0,0.0
1731634412.811,87.5,14.0,0.0
1731634413.812,87.6,14.0,0.0
1731634414.811,87.5,14.0,0.0
1731634415.810,87.5,14.0,0.0
1731634416.809,87.5,14.0,0.0
1731634417.810,87.5,14.0,0.0
1731634418.809,87.5,14.0,0.0
1731634419.808,87.6,14.0,0.0
1731634420.807,87.5,14.0,0.0
1731634421.810,87.5,14.0,0.0
1731634422.809,87.5,14.0,0.0
1731634423.808,87.5,14.0,0.0
1731634424.807,87.5,14.0,0.0
1731634425.806,87.5,14.0,0.0
1731634426.808,87.5,14.0,0.0
1731634427.807,87.5,14.0,0.0
1731634428.806,87.5,14.0,0.0
1731634429.805,87.5,14.0,0.0
1731634430.804,87.5,14.0,0.0
1731634431.803,87.5,14.0,0.0
1731634432.802,87.5,14.0,0.0
1731634433.803,87.5,14.0,0.0
1731634434.802,87.5,14.0,0.0
1731634435.801,87.5,14.0,0.0
1731634436.802,87.5,14.0,0.0
1731634437.801,87.5,14.0,0.0
1731634438.800,87.5,14.0,0.0
1731634439.803,87.5,14.0,0.0
1731634440.802,87.5,14.0,0.0
1731634441.801,87.5,14.0,0.0
1731634442.800,87.5,14.0,0.0
1731634443.799,87.5,14.0,0.0
1731634444.798,87.5,14.0,0.0
1731634445.801,87.5,14.0,0.0
1731634446.800,87.5,14.0,0.0
1731634447.799,87.5,14.0,0.0
1731634448.798,87.5,14.0,0.0
1731634449.797,87.5,14.0,0.0
1731634450.796,87.6,14.0,0.0
1731634451.795,87.5,14.0,0.0
1731634452.795,87.5,14.0,0.0
1731634453.797,87.5,14.1,0.0
1731634454.796,87.5,14.1,0.0
1731634455.795,87.5,14.1,0.0
1731634456.794,87.5,14.1,0.0
1731634457.793,87.5,14.1,0.0
1731634458.792,87.5,14.1,0.0
1731634459.791,87.5,14.1,0.0
1731634460.790,87.5,14.1,0.0
1731634461.790,87.5,14.1,0.0
1731634462.789,87.5,14.1,0.0
